Datetime,ScreenName,Text,Geolocation
6/14/2021 8:26,Akashkd19,"RT @TeamTWTS: First Fight #Raji 🙌🔥 
@Samanthaprabhu2 

Comment Your Fav Fight Scene.. 
#TheFamilyMan2 #SamanthaAkkineni 
#ProudOfYouSAMANTH…",Mumbai
6/14/2021 8:19,Koimoi,The most viewed show over the last week! A special mention for actor @ishahabali who gave a powerpacked performance in #TheFamilyMan2 directed by @rajndk on @PrimeVideoIN https://t.co/UsedDaThZy,Mumbai
6/14/2021 5:14,samee0402,"RT @rvcjmovies: Words from Chellam sir himself 😍
#chellam #chellamsir #udaymahesh #thefamilyman2 #webseries #indianwebseries #rvcjmovies ht…",Mumbai
6/14/2021 4:49,kaushikzala,RT @Suparn: My favourite post so far #ChellamSir #TheFamilyMan2 https://t.co/pXTAHVLasd,Mumbai
6/14/2021 4:35,ChiBabaIndia,"RT @manojgjha: @hvgoenka @BajpayeeManoj @Samanthaprabhu2 Brilliant Most Iconic and Cult chase scene 🔥🤣

@rajndk @BajpayeeManoj @sharibhashm…",Mumbai
6/14/2021 17:17,ankurkakatkar,A binge is a binge worth if it is #TheFamilyMan2! Kudos @BajpayeeManoj aka Shrikant &amp; @sharibhashmi ! @SharadK7 like always charming! @AshleshaThaakur ur wonderful! And loads of kudos to @Suparn @rajndk you guys got back @PrimeVideoIN back on track…@Samanthaprabhu2 @daliptahil,Mumbai
6/14/2021 17:03,ghilliselvan18,"RT @rvcjmovies: When you see it 😛
#shahidkapoor #haider #thefamilyman2 #shahabali #bollywood #webseries #rvcjmovies @shahidkapoor @ishahaba…",Mumbai
6/14/2021 16:58,HimanshuYadu10,"RT @iFaridoon: ""After #TheFamilyMan2 people are constantly asking me, are you the same person who did #ChennaiExpress but I think it's beco…",Mumbai
6/14/2021 16:58,HimanshuYadu10,"RT @iFaridoon: ""It was not supposed to be that funny also because it's a really serious scene happening between Suchi and Srikant talking a…",Mumbai
6/14/2021 16:58,HimanshuYadu10,"RT @iFaridoon: ""The nationwide popularity of that dialogue is all because of this series."": #Priyamani on Sham scene in #TheFamilyMan2. 
@B…",Mumbai
6/14/2021 16:43,ImVictorVenkat,"RT @TeamTWTS: Oh! My Poor Raji 😭😂❤️ 
@Samanthaprabhu2 

#TheFamilyMan2 #SamanthaAkkineni 
#ProudOfYouSAMANTHA #TeamTWTS https://t.co/KQsykh…",Mumbai
6/14/2021 16:38,Sharoni_8,"RT @iFaridoon: ""After #TheFamilyMan2 people are constantly asking me, are you the same person who did #ChennaiExpress but I think it's beco…",Mumbai
6/14/2021 16:33,henne38,"RT @iFaridoon: ""After #TheFamilyMan2 people are constantly asking me, are you the same person who did #ChennaiExpress but I think it's beco…",Mumbai
6/14/2021 16:33,henne38,"RT @iFaridoon: ""It was not supposed to be that funny also because it's a really serious scene happening between Suchi and Srikant talking a…",Mumbai
